name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Perixx PERIMICE-713,,Optical,Wireless,2000,Right,Black
Perixx PERIMICE-307B,,Optical,Wired,1600,Right,Black / Silver
Perixx Perimice-710W,,Optical,Wireless,1600,Right,White
Perixx PERIMICE-307R,,Optical,Wired,1600,Right,Black / Red
Perixx MX-3000B,,Laser,Wired,8200,Right,Black / Silver
Perixx PERIMICE-712R,,Optical,Wireless,2000,Right,Black / Red
Perixx MX-2000R,,Laser,Wired,5040,Right,Black / Red
Perixx MX-3200,,Laser,Wired,5040,Both,Black / Silver
Perixx MX-3000R,,Laser,Wired,8200,Right,Black / Red
Perixx PERIMICE-513,,Optical,Wired,2000,Right,Black
Cobra E-Blue Mazer II,,Laser,Wireless,2500,Right,Black / Silver
Cobra E-3lueHorizon,,Laser,Wireless,,Both,Black / Blue
Cobra EMS140BKC,,Laser,Wired,2500,Right,Black / Silver
Cobra E-Blue Mazer,,Laser,Wireless,2500,Right,Black / Blue
Cobra E-Blue MARVEL AUROZA IRON MAN 3,,Laser,Wired,4000,Both,Red
Cobra E-blue Cobra II,,Optical,Wireless,2500,Right,Black
Ergoguys 0090-0030,95,Optical,Wired,400,Right,White
Genius 31010010100,,Optical,Wired,1200,Both,Black
Genius Traveler 6000z,,Optical,Wireless,,Both,Black
Genius Death Knight Silver edition,,Optical,Wired,3500,Both,Black / Silver
Logitech Zone Touch Mouse T400,,Optical,Wireless,,Both,Red
Logitech Zone Touch Mouse T400,,Optical,Wireless,,Both,Black / White
Logitech M325,53.49,Optical,Wireless,,Both,Multicolor
Logitech Zone Touch Mouse T400,159.94,Optical,Wireless,,Both,Purple
Genius Maurus X,,Laser,Wired,4000,Both,Black / Red
Logitech M325,,Optical,Wireless,,Both,Multicolor
Logitech m505,,Laser,Wireless,,Both,Black / Silver
ROCCAT Kone Pure Color,,Laser,Wired,8200,Right,Black / White
Samsung AA-SM7PWBB,,Optical,Bluetooth Wireless,1600,Both,Black
SteelSeries Sensei RAW Heat Orange,,Laser,Wired,5670,Both,Black / Orange
Logitech MX510,,Laser,Wired,800,Right,Black / Red
Rosewill Helix RM-20,,Optical,Wired,2400,Right,Black / Silver
HP Z5000,,Laser,Bluetooth Wireless,,Both,White
Cobra Cobra,,Optical,Wired,2400,Right,Black / Blue
Cobra Mazer Type-R,,Optical,Wired,2400,Right,Black / Blue
HP Z3600,,Laser,Wireless,,Both,Black / Blue
HP H2L63AA,25.99,Optical,Wireless,,Both,Black
Ergoguys CST3645,,Optical,Wired,1600,Right,Black
HP H6E52AA#ABA,,Laser,Wireless,1600,Both,Multicolor
Logitech V200,,Optical,Wireless,,Both,Silver
Lenovo ThinkPad Precision Wireless Mouse,,Optical,Wireless,1200,Both,Black / Red
Corsair Vengeance M65,,Laser,Wired,8200,Right,Black / Silver
Thermaltake Level 10 M,,Laser,Wired,8200,Right,Black / Silver
Thermaltake Level 10 M,,Laser,Wired,8200,Right,Green / Black
Thermaltake Level 10 M,,Laser,Wired,8200,Right,Black / Red
Asus VivoMouse WT710,,Optical,Wireless,1200,Both,Gray
Gear Head MPT3400YLW-CP10,,Optical,Wireless,800,Right,Black / Yellow
Genius 31030088102,,Optical,Wireless,1600,Both,White
Genius 31030107103,,Optical,Wireless,1200,Both,Silver
HP X1250,,Optical,Wired,,Both,Black
Cobra Cobra Type-S,,Optical,Wired,1600,Right,Blue / White
Cobra Cobra Junior,,Optical,Wired,1600,Right,Black / Blue
Cobra Horizon,,Optical,Wireless,1750,Right,Black / Red
Cobra Silenz,,Optical,Wired,2400,Both,Multicolor
Ergoguys Onyx,,Optical,Wired,400,Right,Blue / White
Genius DeathTaker White Edition,,Laser,Wired,5700,Right,White / Red
Logitech 910-003359,,Laser,Wireless,1000,Both,Black / Silver
Mad Catz MCB437040002/04/1,,Laser,Wired,8200,Right,Black / Blue
Func MS- 3 Revision 2,,Laser,Wired,5670,Right,Black / Red
Lenovo 0C41072,,Optical,Wireless,1000,Both,Black
GAMDIAS ZEUS,,Laser,Wired,8200,Right,Black
GAMDIAS DEMETER,,Optical,Wired,2000,Both,Black
GAMDIAS APOLLO,,Optical,Wired,3200,Right,Black
GAMDIAS HADES Optical Extension,,Optical,Wired,3200,Both,Black
Microsoft U7Z-00011,24.99,Laser,Wireless,,Both,Blue
Asus BX700,,Laser,Bluetooth Wireless,,Right,Gray
Gigabyte M5050,,Optical,Wired,800,Both,White
Lenovo 0B47153,,Optical,Wired,1600,Both,Black / Red
AZIO GM2400,,Optical,Wired,2400,Right,Black / Blue
Corsair Raptor LM3,,Optical,Wired,2400,Right,Black
Ozone Gaming Xenon,,Optical,Wired,3500,Both,Black
Ozone Gaming Xenon,,Optical,Wired,3500,Both,Black / Red
Ozone Gaming Xenon,,Optical,Wired,3500,Both,Black / White
Mionix AVIOR SK,,Optical,Wired,7000,Both,Black / White
Toshiba PA3982U-1E2B,,Optical,Wired,1600,Both,Black
Etekcity Scroll X1 M555,,Optical,Wired,2400,Right,Black / Red
UtechSmart 4000 DPI Gaming Mouse,,Laser,Wired,4000,Both,Multicolor
UtechSmart US-D8000-GM,,Laser,Wired,8000,Right,Black / Silver
UtechSmart US-D8200-GM,,Laser,Wired,8200,Right,Black / Silver
Genius Traveler D6600,,Optical,Wireless,1200,Both,Black / Silver
Genius DX-6810,,Optical,Wireless,1200,Both,Silver
Genius DX-6810,,Optical,Wireless,1200,Right,Black / Red
EVGA TORQ X10,,Laser,Wired,8200,Both,Black / Red
HP QY778AA,,Laser,Wired,1000,Both,Black
Razer DeathAdder World of Tanks,,Optical,Wired,6400,Right,Black / Orange
Cherry JW-T0200,,Laser,Wireless,2000,Both,Black / Silver
Rosewill RM-7900,,Laser,Wireless,2000,Right,Black / Silver
Targus AMU51US,18.98,Laser,Wired,,Both,Silver
V7 MV3040-24G-BLK-15NB,,Optical,Wireless,1200,Both,Black
V7 MV3040-24G-RED-15NB,,Optical,Wireless,1200,Both,Black / Red
V7 MV6000-BT-BLK-15NB,,Optical,Wireless,1600,Both,Black
Logitech M317,,Laser,Wireless,,Both,Blue / White
Logitech Wheel,,Optical,Wired,800,Both,Black
Logitech M325,,Laser,Wireless,,Both,Multicolor
Logitech M325,,Laser,Wireless,,Both,Blue / White
Logitech M325,,Laser,Wireless,,Both,Black / White
Logitech M325,,Laser,Wireless,,Both,Pink
Samsung ET-MP900DBEGUJ,,Laser,Wireless,,Right,Black
Zalman Knossos,,Laser,Wired,8200,Right,Black / Silver
ROCCAT Kone Pure Military,,Optical,Wired,5000,Right,Black / Green
ROCCAT Kone Pure Military,,Optical,Wired,5000,Right,Black / Red
Genius NS-6005,,Optical,Wireless,1000,Both,Black
Genius NS-6005,,Optical,Wireless,1000,Both,Red
Genius NS-6005,,Optical,Wireless,1000,Both,Blue
Zowie AM,,Optical,Wired,2300,Both,Black / Red
Zowie AM-FG WHITE,,Optical,Wired,2300,Both,White / Gray
Zowie EC1-eVo,,Optical,Wired,2300,Right,Black / White
Zowie EC1-eVo-CL,,Optical,Wired,2300,Right,Black / White
Zowie EC1-eVo WHITE,,Optical,Wired,2300,Right,White
Zowie EC2-eVo,,Optical,Wired,2300,Right,Black / White
Zowie EC2-eVo-CL,,Optical,Wired,2300,Right,Black / White
Zowie EC2-eVo WHITE,,Optical,Wired,2300,Right,White
Gigabyte Aivia Uranium,,Laser,Wireless,3200,Right,Black / Silver
Etekcity Scroll M535,,Optical,Wired,3000,Right,Black / Blue
Samsung AA-SM7PWRP/US,,Laser,Wireless,1600,Both,Black / Pink
Logitech B120,,Optical,Wired,800,Both,Black
SteelSeries Sims 4,,Laser,Wired,1600,Right,White / Gray
Samsung AA-SM7PWRB/US,,Laser,Wireless,1600,Both,Black
Microsoft PL2 Touch Mouse,121.97,Laser,Wireless,,Both,Black
Thermaltake TALON Blue LED,,Optical,Wired,3000,Right,Black / Blue
Cooler Master Mizar,,Laser,Wired,8200,Right,Black
Corsair M65 RGB,,Laser,Wired,8200,Right,White
Cougar 700M,,Laser,Wired,8200,Right,Black
Mad Catz R.A.T. TE,,Laser,Wired,8200,Right,Black / White
Mad Catz R.A.T. TE,,Laser,Wired,8200,Right,Black / Red
Mad Catz R.A.T. TE,,Laser,Wired,8200,Right,Black
Mad Catz M.M.O. TE,,Laser,Wired,8200,Right,Black / Blue
ROCCAT TYON,,Laser,Wired,8200,Right,Black
Thermaltake Level 10 M Hybrid,,Laser,Wired,8200,Right,Black / Silver
Thermaltake VOLOS,,Laser,Wired,8200,Right,Black
Microsoft GMF-00408,,Laser,Wireless,,Both,Black
Logitech M325,,Optical,Wireless,,Both,White / Purple
Logitech M325,,Optical,Wireless,,Both,Blue / White
HP ET424AA,,Optical,Wired,,Both,Black
Cougar 700M,,Laser,Wired,8200,Right,Silver / Black
Logitech M320,58.88,Optical,Wireless,1000,Right,Blue
Rosewill RM-7700,,Optical,Wireless,1750,Both,Black
Gigabyte Raptor,,Optical,Wired,4000,Right,Black / Red
Microsoft GMF-00413,,Optical,Wireless,1000,Both,Black
Corsair Sabre,,Laser,Wired,8200,Right,Multicolor
Logitech M320,49.73,Optical,Wireless,1000,Both,Red
Logitech M320,34.97,Optical,Wireless,1000,Right,Silver
GAMDIAS Zeus Esports Edition,,Laser,Wired,8200,Right,Black / Red
Mad Catz M.M.O. TE,,Laser,Wired,8200,Right,Black / White
Mad Catz M.M.O. TE,,Laser,Wired,8200,Right,Black / Red
Azza Diablo,,Optical,Wired,2400,Right,Black
Cougar 600M,,Laser,Wired,8200,Right,Black
Cougar 600M,,Laser,Wired,8200,Right,Orange
Mad Catz Office R.A.T.,,Laser,Bluetooth Wireless,,Right,Black
Mad Catz Office R.A.T.,,Laser,Bluetooth Wireless,,Right,Black
Mad Catz M.M.O. TE,,Laser,Wired,8200,Right,Black / Red
Mad Catz R.A.T. M,,Optical,Bluetooth Wireless,2000,Right,Black
MS-Tech SM-X35,,Laser,Wired,2400,Right,Black
Corsair Sabre,,Optical,Wired,6400,Right,Multicolor
Anker AK-98AN2000-BA,,Optical,Wired,4000,Right,Black / Blue
Aula Killing Soul SI-928,18.98,Optical,Wired,2000,Right,Black
Logitech M325,,Optical,Wireless,,Both,Black / White
Mad Catz R.A.T.,,Laser,Wireless,,Right,White
Microsoft D58-00041,,Optical,Wired,,Both,White
Thermaltake THERON Plus+,,Laser,Wired,8200,Right,Black / Red
Func MS-2,,Optical,Wired,4000,Right,Black / Orange
Thermaltake BLACK V2,,Laser,Wired,5700,Right,Black / Red
Thermaltake VENTUS,,Laser,Wired,5700,Both,Black
Kensington Pro Fit,34.94,Laser,Bluetooth Wireless,1000,Right,Black
IOGEAR NRG3,,Laser,Wireless,2000,Right,Black
Kensington Pro Fit,,Laser,Wired,1800,Right,Black
FinalMouse FinalMouse 2015,,Optical,Wired,3200,Right,Black
SIIG JK-WR0A12-S1,,Optical,Wireless,1000,Right,Black
SIIG JK-WR0C12-S1,,Optical,Wireless,1000,Right,Black
SIIG JK-WR0G12-S1,,Optical,Wireless,1000,Both,Black / Red
EVGA TORQ X5,,Optical,Wired,6400,Both,Black / White
SIIG JK-WR0912-S1,,Optical,Wireless,1000,Right,Red
SIIG JK-WR0B12-S1,,Optical,Wireless,1000,Right,Blue
SIIG JK-WR0F12-S1,,Optical,Wireless,1000,Right,Orange
EVGA TORQ X5L,35.22,Laser,Wired,8200,Both,Black / Orange
Lenovo 0B47167,,Optical,Wireless,1200,Both,Silver
SIIG JK-WR0D12-S1,,Optical,Wireless,1000,Both,Black / Blue
SIIG JK-WR0E12-S1,,Optical,Wireless,1000,Both,Black / Green
Gear Head BT9750BLU,,Optical,Bluetooth Wireless,1600,Right,Black / Blue
Gear Head BT9750RED,,Optical,Bluetooth Wireless,1600,Right,Black / Red
Rosewill RM-D2P,,Optical,Wired,2000,Both,Black
AZIO EXO1-K,,Optical,Wired,3500,Right,Black
Microsoft Designer,,Optical,Bluetooth Wireless,,Both,Black
Microsoft U7Z-00055,27,Optical,Wireless,1000,Both,Blue
Microsoft U7Z-00062,,Optical,Wireless,1000,Both,Pink
Rosewill RM-7800BL,,Optical,Wireless,1600,Right,Black
Rosewill RM-7800PK,,Optical,Wireless,1600,Right,Pink
Turtle Beach Grip 300,,Optical,Wired,1750,Right,Black / Red
Turtle Beach Grip 500,,Laser,Wired,8200,Right,Black / Red
UtechSmart VENUS-B,,Laser,Wired,16400,Right,Gray
Thermaltake VENTUS X,,Laser,Wired,5700,Right,Black
Monoprice MP-MiCo Optical Pro,,Optical,Wired,1600,Both,Blue / White
Monoprice 11154,,Laser,Wired,1600,Right,Black
Monoprice 11155,,Laser,Wired,2400,Right,Black / Green
Monoprice 8495,,Optical,Wired,1600,Both,Black
Monoprice 9253,,Optical,Wired,,Both,Black / Red
Monoprice 9254,,Optical,Wired,,Both,Black / Blue
Monoprice 9255,,Optical,Wired,,Both,Black / Blue
Monoprice M24,,Optical,Wireless,,Both,Black / Silver
Monoprice M19,,Optical,Wireless,,Both,Black / Silver
Monoprice 9258,,Optical,Wired,3400,Right,Black / Red
Monoprice Executor,,Laser,Wired,5600,Right,Black
Kensington SlimBlade,,Laser,Wireless,,Both,Black
Kensington Pro Fit 2.4 GHz Wireless Mid-Size Mouse,,Laser,Wireless,,Right,Black
Kensington Pro Fit Mobile Wireless Mouse,,Laser,Wireless,,Both,Black
Kensington Pro Fit Full-Size Mouse,27.71,Optical,Wired,2400,Right,Black
Kensington K72370US,34.98,Optical,Wireless,,Right,Black
Kensington K72400US,,Optical,Wired,,Both,Black
Kensington PocketMouse,,Optical,Wireless,1000,Both,Black
Kensington Pro Fit Mid-Size Mouse,33.4,Laser,Wireless,,Right,Black / Blue
Kensington Pro Fit Mid-Size Mouse,35.98,Laser,Wireless,,Right,Black / Green
Kensington SureTrack,,Optical,Wireless,,Both,Black
Kensington Pro Fit,36.98,Optical,Wireless,1750,Right,Black
Dell WM615,,Laser,Bluetooth Wireless,1000,Both,Black
Cooler Master Storm Reaper,,Laser,Wired,8200,Right,Black / Silver
AZIO EXO1,,Optical,Wired,3500,Right,Black / Red
Etekcity Scroll 6E,,Optical,Wired,4000,Right,Black / Blue
Etekcity SCROLL S200,,Optical,Wired,1600,Right,Black / Blue
Gear Head BT9750BLK,,Optical,Bluetooth Wireless,1600,Right,Black
Kensington MP230L,,Laser,Wireless,3200,Right,Black
Mad Catz Office R.A.T. M,,Optical,Bluetooth Wireless,2000,Right,Black / White
Mad Catz Office R.A.T. M,,Optical,Bluetooth Wireless,2000,Right,Black / Red
Mad Catz Office R.A.T.,,Optical,Bluetooth Wireless,,Right,Red
Razer Abyssus,,Optical,Wired,3500,Both,Black
Dell WM123,,Optical,Wireless,1000,Both,Black
IOGEAR Tacturus,,Optical,Wireless,1000,Both,Black
Key Ovation KOV-N200BCM,,Optical,Wired,3000,Right,Black
Lenovo 0B47165,,Optical,Wireless,,Both,Red
Logitech M325,,Optical,Wireless,1000,Both,Green / Blue
Logitech M325c Lucas Lion,,Optical,Wireless,,Both,Multicolor
Logitech M325c Purple Zigzag,,Optical,Wireless,,Both,Purple
Logitech M325c Blue Zigzag,,Optical,Wireless,,Both,Blue
Logitech M325c Blue Harlequin,49.95,Optical,Wireless,,Both,Blue
Mad Catz Office R.A.T. M,,Optical,Wireless,2000,Right,Red
ROCCAT Kone Pure Camo Charge,,Optical,Wired,5000,Right,Camo
ROCCAT Kone Pure Naval Storm,,Optical,Wired,5000,Right,Black / Silver
ROCCAT Kone Pure Desert Strike,,Optical,Wired,5000,Right,Brown / Black
Rosewill Reflex,,Laser,Wired,8200,Right,Black / Red
Key Ovation KOV-N200BCL,,Optical,Wired,4000,Right,Black
Key Ovation KOV-N200SCM,,Optical,Wired,4000,Both,Black / Silver
Key Ovation KOV-RS200CL,,Optical,Wired,3400,Right,Black
Key Ovation KOV-RS200CM,,Optical,Wired,3400,Right,Black
Logitech M325c Teal Zigzag,49.99,Optical,Wireless,,Both,Blue / White
Cougar 230M,,Optical,Wired,3200,Both,White / Yellow
Cougar 250M,,Optical,Wired,4000,Both,Black / Orange
Cougar 300M,,Optical,Wired,4000,Right,Black / Orange
Cougar 500M,,Optical,Wired,4000,Right,Black / White
Cougar 550M,,Optical,Wired,6400,Right,Black / Orange
Gear Head MP2120CMO,,Optical,Wireless,,Both,Camo
Gear Head MP2120RDF,,Optical,Wireless,,Both,Black / Red
Gear Head MP2120SNL,,Optical,Wireless,,Both,Black / White
Logitech M325 Purple Peace,,Optical,Wireless,1000,Both,White / Purple
Logitech M325 Zany,,Optical,Wireless,1000,Both,Silver / White
Logitech M325 Moody Mint,,Optical,Wireless,1000,Both,Green
Logitech M325,,Optical,Wireless,1000,Both,Multicolor
Etekcity Scroll Alpha,,Laser,Wired,8200,Both,Black / Blue
Kensington K72392US,22.5,Optical,Wireless,1000,Both,Black
SolidTek MS-233BU,,Optical,Wired,,Both,Black
Asus ROG Sica,,Optical,Wired,5000,Both,Black / Red
Adesso iMouse E50,,Laser,Wireless,1000,Right,Black
Adesso iMouse E60L,,Optical,Wireless,1000,Both,Blue / Silver
Adesso iMouse E60W,,Optical,Wireless,1000,Both,White
Adesso iMouse W2,,Optical,Wired,800,Both,Black
Microsoft GMF-00403,,Optical,Wireless,,Both,Multicolor
TekNmotion TM-NIBM1,,Optical,Wired,,Right,Black
TekNmotion Nibiru M2,,Optical,Wired,800,Right,Black
IOGEAR Chimera M2,,Optical,Wired,2000,Right,Black
Logitech M185,,Optical,Wireless,1000,Both,Black
Logitech M187,,Optical,Wireless,1000,Both,Red
SMK-Link VP3815-TAA,,Optical,Wired,800,Both,Black
V7 GM110-2N,,Optical,Wired,4000,Right,Black / White
V7 GM120-2N,,Optical,Wired,4000,Right,Black / Orange
Adesso IMOUSES4,,Optical,Wired,1600,Both,Black
Patriot Viper V560,,Laser,Wired,8200,Right,Black / Red
Takara Tomy Transformers DinoSaurer,,Optical,Wired,,Both,Black / Orange
GE 97986,,Optical,Wired,,Both,Black
Corsair SABRE RGB,,Laser,Wired,8200,Right,Black
Genius NX-7000,,Laser,Wireless,1200,Both,Black / Red
Genius M6-600,,Optical,Wired,5000,Right,Black / White
Adesso iMouse E60Y,,Optical,Wireless,1000,Both,Yellow
Corsair M65 RGB,,Laser,Wired,8200,Right,Black / White
Corsair M65,,Laser,Wired,8200,Right,Black
EVGA TORQ X3,,Optical,Wired,4000,Both,Black / Silver
Gear Head MP2120LPD,,Optical,Wireless,,Both,Black / Orange
Genius NX-7000,,Laser,Wireless,1200,Both,Green / White
Mad Catz R.A.T. PRO X,,Laser,Wired,8200,Right,Black / Green
Microsoft 3600,29.99,Optical,Wireless,,Both,Black
Microsoft 3600,29.99,Optical,Wireless,,Both,Blue
Microsoft 3600,39.95,Optical,Wireless,,Both,Red
Adesso iMouse E60B,,Optical,Wireless,1000,Both,Black / Silver
Adesso iMouse E60G,,Optical,Wireless,1000,Both,Green / Silver
Genius M6-400,,Optical,Wired,5000,Both,Black / Gold
HEC HM153,,Optical,Wired,1600,Both,Black / Red
A4Tech G7CR-60B,,Optical,Wireless,,Right,Black
Microsoft 900,42.46,Laser,Wireless,,Both,Black
Ninox Aurora,,Optical,Wired,4000,Right,Black / Red
Mad Catz R.A.T. PRO X,,Optical,Wired,5000,Right,Black / Yellow
Razer Orochi 8200 Chroma,,Laser,Wireless,8200,Both,Black
SteelSeries Rival 300,,Optical,Wired,6500,Right,Silver
Feenix Nascita,,Laser,Wired,8200,Right,Black / White
A4Tech ML160,,Laser,Wired,8200,Right,Black
Adesso iMouse E2,,Optical,Wired,3200,Right,Black
Adesso iMouse E20,,Laser,Wireless,3200,Right,Black
Adesso iMouse E40,,Optical,Wireless,1000,Right,Black
Cougar 550M,,Optical,Wired,6400,Right,Black / Orange
Gear Head MP1975BLK,,Optical,Wireless,,Right,Black
Gear Head MP1975BLU,,Optical,Wireless,,Both,Blue
Gear Head MP1975RED,,Optical,Wireless,,Both,Red
Gear Head MP2100NBL,,Optical,Wireless,,Both,Blue
Gear Head MP2100NGR,,Optical,Wireless,,Both,Green
Gear Head MP2100NOR,,Optical,Wireless,,Both,Orange
Gear Head MP2100NPK,,Optical,Wireless,,Both,Pink
Gear Head MP2100NPR,,Optical,Wireless,,Both,Purple
HP X1500,,Optical,Wired,,Right,Black
Microsoft Wireless Mobile Mouse 4000,,Laser,Wireless,1000,Both,Black
Razer DeathAdder Chroma(Call of Duty: Black Ops III Edition),,Optical,Wired,10000,Right,Black / Silver
ROCCAT Kiro,,Optical,Wired,4000,Both,Black
Microsoft Arc Touch,,Laser,Bluetooth Wireless,,Both,Gray
SteelSeries Rival 100,,Optical,Wired,4000,Right,Green
Monoprice MP-AM,,Optical,Wired,2300,Both,Black / Red
Satechi Edge,,Optical,Wireless,4000,Right,Black
HP Star Wars Special Edition,,Laser,Wireless,,Both,Black / Red
Kensington Pro Fit Mid-Size Mouse,,Optical,Wireless,1750,Right,Black
Logitech 910-001648,,Optical,Wired,,Both,Black
Logitech M525,,Optical,Wireless,,Both,Black / Red
Logitech 910-002897,,Laser,Wireless,,Right,Black
Logitech M325 Brilliant Rose,,Laser,Wireless,,Both,Black / Pink
Microsoft L2 Sculpt Touch,,Laser,Bluetooth Wireless,,Both,Black / Silver
Microsoft Comfort Mouse 4500,,Laser,Wired,,Right,Black
Microsoft Wireless Mobile Mouse 4000,,Laser,Wireless,,Right,Black / Silver
Microsoft Mobile 3500,,Laser,Wireless,,Both,Black
Microsoft GMF-00045,,Laser,Wireless,,Both,Black
Microsoft U81-00010,,Optical,Wired,,Both,Black
Targus AMW50CA,,Optical,Wireless,,Both,Black / Silver
Monoprice 109287,,Laser,Wired,,Both,Black
Sentey GS-3521,,Laser,Wired,3400,Right,Black / Red
Dell WM126,,Optical,Wireless,1000,Both,Blue
Dell WM326,,Laser,Wireless,1600,Both,Black
Genius NX 7010,,Optical,Wireless,,Both,Gray
Genius Ammox X1 400,,Optical,Wired,3200,Both,Black / Red
Gigabyte XM300,,Optical,Wired,6400,Right,Black
SHARKK MS-SK2511,,Optical,Wireless,1600,Right,Black
SHARKK SK137G,,Optical,Wireless,1600,Right,Black
SIIG JK-US0A12-S1,,Optical,Wired,1000,Both,Black
SIIG JK-US0B12-S1,,Optical,Wired,1000,Both,Black / Blue
SIIG JK-US0C12-S1,,Optical,Wired,1000,Both,Black / Red
SIIG JK-US0D12-S1,,Optical,Wired,1000,Both,White / Silver
SIIG JK-US0H12-S1,,Optical,Wired,1000,Both,Black
Thermaltake THERON Plus,,Laser,Wired,8200,Right,Black
Toshiba PA3570U-1ETA,,Laser,Wired,1600,Both,Black / Silver
Zalman ZM-M130CB,,Optical,Wired,2400,Right,Black / Blue
Zalman ZM-M130CWH,,Optical,Wired,2400,Right,White
Zalman ZM-M520WBK,,Optical,Wireless,16000,Right,Black
Zalman ZM-M520WR,,Optical,Wireless,16000,Both,Red
Corsair Scimitar RGB,,Optical,Wired,12000,Right,Black
Cobra CORBA JUNOR,,Optical,Wired,1600,Right,Black / Blue
Cobra CORBA JUNOR,,Optical,Wired,1600,Right,Black / Red
Cobra Auroza type G,,Optical,Wired,3000,Right,Black
Cobra Mazer,,Optical,Wired,2500,Right,Black
Das Keyboard Division Zero M50,,Laser,Wired,6400,Both,Black / Red
UtechSmart Uranus,,Laser,Wired,16400,Right,Black
Zowie ZA13,,Optical,Wired,3200,Both,Black
SHARKOON SHARK Force,,Optical,Wired,1600,Right,Green
Sentey Lumenata Pro SP,,Laser,Wired,8200,Right,Black
Asus ROG Sica,,Optical,Wired,5000,Both,White
Asus Cerberus Arctic,,Optical,Wired,2500,Both,White / Black
Corsair Sabre RGB,,Optical,Wired,6400,Right,Black
Thermaltake VENTUS Z,,Laser,Wired,11000,Right,Black
Mars Gaming MM1,,Optical,Wired,3200,Right,Black / Red
Hcman 325US,,Laser,Wired,3000,Right,Black / Yellow
Hcman Donkey112,,Laser,Wired,2000,Right,Black / Yellow
NOX Krom Khanda,,Optical,Wired,4000,Right,Black / Orange
NOX Krom Korps,,Laser,Wired,8200,Right,Black / Orange
Speedlink DECUS,,Optical,Wired,5000,Right,Black / Red
Creative Labs Siege M04,,Optical,Wired,12000,Right,Black
RIOTORO URUZ Z5 Classic RGB,,Optical,Wired,4000,Right,Black
RIOTORO URUZ Z5 Lightning RGB,,Optical,Wired,4000,Right,Black
Cougar 450M (Black/Orange),,Optical,Wired,5000,Both,Black / Orange
HP X3500,50,Optical,Wireless,,Both,Black / Gray
Logitech MX MASTER 2S (Blue),,Laser,Wireless,4000,Right,Blue
Gigabyte AIRE M73,,Optical,Wireless,1000,Right,Black
MSI Interceptor DS100,,Laser,Wired,3500,Both,Black / Red
ROCCAT Kone AIMO,,Optical,Wired,12000,Right,Gray
Cougar 450M (Black/Green),,Optical,Wired,5000,Both,Black / Green
Cougar Minos X1,,Optical,Wired,2000,Right,Black
Cougar Minos X3,,Optical,Wired,3200,Right,Black
Cooler Master MasterMouse MM520,,Optical,Wired,12000,,Black
Anker AK-A7809012,,Optical,Wireless,1600,Right,Black
GranVela 325,,Optical,Wired,3000,Right,Black / Yellow
ACGAM G402,,Optical,Wired,10000,Right,Black
Redragon INQUISITOR M716,,Optical,Wired,10000,Right,
Microsoft ELH-00001,48.49,Optical,Bluetooth Wireless,,Both,Gray
Tracer GAMEZONE SNIPER AVAGO,,Laser,Wired,6000,Right,Black
Rosewill ION D21,,Optical,Wired,4000,Right,White
Trust GXT 25,,Optical,Wired,1600,Right,Black / Red
Adesso iMouse S8B,15.01,Optical,Wired,1600,Both,Black
Cougar 700M EVO RGB,,Optical,Wired,16000,Right,Black
Razer Atheris Stormtrooper,,Optical,Wireless,7200,Right,White / Black
Razer Lancehead Tournament Edition,,Optical,Wired,16000,Both,Gray
Razer Deathadder Elite Destiny 2 Edition,,Optical,Wired,16000,Right,Black / White
Mionix Castor French Fries,,Optical,Wired,5000,Right,Yellow
Mionix Castor Shark Fin,,Optical,Wired,5000,Right,Gray
Mionix Avior French Fries,,Optical,Wired,5000,Both,Yellow
Mionix Castor Black,,Optical,Wired,5000,Right,Black
Mad Catz The Authentic R.A.T PRO S3,60.85,Optical,Wired,7200,Right,Black
Mionix Avior Shark Fin,,Optical,Wired,5000,Both,Gray
Mionix Castor Ice Cream,,Optical,Wired,5000,Right,Blue
Zowie EC1-B CS:GO,,Optical,Wired,3200,Right,Black / Gold
Zowie EC2-B CS:GO,,Optical,Wired,3200,Right,Black / Gold
IOGEAR Kaliber Gaming KORONA RGB,32.95,Optical,Wired,5000,Right,Black
ROCCAT Lua,79.95,Optical,Wired,2000,Both,Black / Blue
Logitech M325c Blu Trance,,Optical,Wireless,1000,Both,Blue / Black
Logitech M325c Lady Lily,,Optical,Wireless,1000,Both,White / Multicolor
Logitech M325c Floral Spiral,,Optical,Wireless,1000,Both,White / Pink
Logitech M325c Taboo,,Optical,Wireless,1000,Both,Black / Red
Logitech M325c Natural Jewelry,,Optical,Wireless,1000,Both,Purple / Multicolor
Logitech M325c Dark Fleur,,Optical,Wireless,1000,Both,White / Black
Logitech M317C Blue Trance,29.99,Optical,Wireless,1000,Both,Blue / Black
Logitech M317c Dark Fleur,,Optical,Wireless,1000,Both,White / Black
Logitech M325c Forest Floral,29.99,Optical,Wireless,1000,Both,Blue / Black
Logitech M325c Summer Bouquet,29.99,Optical,Wireless,1000,Both,White / Pink
Logitech M325c Urban Sunset,49.95,Optical,Wireless,1000,Both,Orange / Red
Acer AMR513,,Optical,Wireless,1000,Both,Red / Black
Adesso IMOUSE W4,26.99,Optical,Wired,1000,Both,Black
Adesso iMouse E55,,Optical,Wireless,1000,Right,Black
Adesso iMouse E70,,Optical,Wireless,4800,Left,Black
Adesso iMouse S200B,23.53,Optical,Wireless,2000,Right,Black
